CaseID,ActivityID,CompleteTimestamp
173688,3,10/1/2011 19:45
173688,5,10/1/2011 20:17
173688,5,10/9/2011 0:32
173688,5,10/10/2011 19:33
173688,6,10/13/2011 18:37
173691,3,10/1/2011 19:43
173691,3,10/1/2011 22:35
173691,5,10/1/2011 22:36
173691,5,10/4/2011 0:56
173691,5,10/4/2011 0:57
173691,5,10/10/2011 18:14
173691,6,10/10/2011 19:30
173691,6,10/10/2011 22:14
173691,6,10/10/2011 22:17
173694,3,10/1/2011 19:35
173694,3,10/3/2011 19:21
173694,3,10/3/2011 21:32
173694,3,10/3/2011 21:40
173694,5,10/3/2011 21:44
173694,5,10/11/2011 0:47
173694,5,10/11/2011 3:34
173694,5,10/15/2011 2:16
173694,5,10/18/2011 3:43
173694,5,10/25/2011 18:50
173694,5,10/27/2011 2:50
173694,5,10/29/2011 20:41
173694,5,11/1/2011 23:55
173694,5,11/2/2011 2:21
173694,5,11/2/2011 18:15
173694,6,11/5/2011 1:05
173703,3,10/1/2011 19:40
173703,3,10/1/2011 21:02
173706,1,10/1/2011 18:16
173706,3,10/1/2011 19:50
173706,3,10/1/2011 19:53
173706,3,10/1/2011 23:00
173709,3,10/1/2011 18:27
173709,3,10/1/2011 19:43
173709,3,10/11/2011 1:43
173709,3,11/1/2011 18:15
173712,1,10/1/2011 18:10
173712,3,10/1/2011 21:03
173712,3,10/3/2011 19:17
173712,3,10/3/2011 22:42
173715,3,10/1/2011 19:46
173715,3,10/1/2011 20:30
173715,5,10/9/2011 0:38
173715,5,10/10/2011 20:54
173715,6,10/13/2011 19:05
173718,3,10/1/2011 18:44
173718,5,10/1/2011 18:44
173718,5,10/1/2011 18:46
173718,5,10/1/2011 18:50
173718,5,10/1/2011 18:50
173718,5,10/9/2011 0:31
173718,5,10/10/2011 18:55
173718,6,10/13/2011 20:36
173718,4,10/13/2011 21:05
173718,4,10/13/2011 21:53
173718,4,10/14/2011 1:12
173718,4,10/14/2011 1:14
173718,4,10/14/2011 1:14
173718,4,10/15/2011 23:17
173718,4,10/16/2011 0:56
173718,4,10/17/2011 21:32
173718,4,10/17/2011 22:28
173718,4,10/19/2011 0:46
173718,4,10/19/2011 1:46
173718,6,10/19/2011 16:53
173718,4,10/19/2011 17:17
173718,4,10/19/2011 17:24
173718,4,10/20/2011 17:30
173718,4,10/24/2011 23:24
173718,4,10/26/2011 16:12
173718,6,10/27/2011 17:18
173721,3,10/1/2011 19:20
173721,5,10/1/2011 19:22
173721,5,10/1/2011 19:32
173721,5,10/4/2011 22:47
173721,5,10/6/2011 17:49
173721,6,10/10/2011 18:06
173721,4,10/10/2011 18:20
173721,4,10/10/2011 19:42
173721,4,10/10/2011 22:22
173721,4,10/11/2011 0:28
173724,1,10/1/2011 20:12
173724,1,10/1/2011 20:20
173724,3,10/1/2011 21:27
173724,3,10/1/2011 22:02
173724,3,10/1/2011 23:15
173724,3,10/3/2011 19:33
173724,3,10/3/2011 23:48
173730,3,10/1/2011 21:55
173730,3,10/1/2011 23:15
173730,3,10/1/2011 23:31
173730,3,10/1/2011 23:40
173730,5,10/1/2011 23:48
173730,5,10/9/2011 0:20
173730,5,10/11/2011 4:49
173730,5,10/11/2011 18:47
173730,5,10/12/2011 3:55
173730,5,10/12/2011 23:37
173730,5,10/14/2011 2:35
173730,5,10/14/2011 18:21
173730,6,10/19/2011 21:20
173730,4,10/19/2011 21:32
173730,4,10/19/2011 21:36
173730,4,10/20/2011 3:11
173730,4,10/20/2011 16:10
173730,6,10/20/2011 18:08
173730,4,10/20/2011 18:27
173730,4,10/20/2011 18:45
173730,6,10/20/2011 20:00
173730,4,10/20/2011 20:32
173730,4,10/20/2011 21:52
